frame,valid_eye_gaze,left_eye_intersection,right_eye_intersection,avg_eye_intersection
2871.0,1,"[['parent', [156.25714687398875, 44.40929744990873, 649.9]]]","[['parent', [393.2, 59.56903154521673, 896.2852363652644]]]","[['parent', [164.98863943198072, 42.47775982814541, 649.9]]]"
2872.0,0,[],[],[]
2873.0,1,"[['parent', [154.68660694701515, 66.27229843402043, 716.5]]]","[['parent', [195.43444785547516, 57.766721802839406, 716.5]]]","[['parent', [176.27002732051423, 59.33283753333203, 716.5]]]"
2874.0,1,"[['parent', [150.28466771608532, 60.72152982631266, 727.4]]]","[['parent', [202.48878338854612, 56.26624267259513, 727.4]]]","[['parent', [173.35181440837258, 60.10036903221137, 727.4]]]"
2875.0,1,"[['parent', [160.29720417761055, 71.9059198249125, 767.2]]]","[['parent', [375.4, 113.81200232418435, 1016.6496099546287]]]","[['parent', [178.38376454300453, 62.43339629006249, 767.2]]]"
2876.0,1,"[['parent', [165.913378242145, 74.95280705865706, 799.4]]]","[['parent', [377.2, 116.59461535714834, 1078.1022702115395]]]","[['parent', [174.86465393688283, 59.416434817691815, 799.4]]]"
2877.0,1,"[['parent', [265.91420434809254, 171.5, 1141.6279957840393]]]","[['parent', [380.5, 114.66216320769684, 1106.0764519742188]]]","[['parent', [191.55461893576114, 63.5505071436058, 858.5]]]"
2878.0,1,"[['parent', [171.08709630042478, 81.48136354050553, 848.6]]]","[['parent', [380.5, 92.52409853827864, 1109.2922241841147]]]","[['parent', [197.20211724752434, 75.6956461006012, 848.6]]]"
2879.0,1,"[['parent', [167.07728632506482, 76.6431876246464, 767.5]]]","[['parent', [375.1, 110.26917542303846, 1059.801935510482]]]","[['parent', [175.6776966223489, 61.973208933368234, 767.5]]]"
2880.0,1,"[['parent', [170.92774896422745, 78.09890924597487, 765.5]]]","[['parent', [166.45977952774794, 52.719859655856965, 765.5]]]","[['parent', [180.64808390698067, 60.95173641751626, 765.5]]]"
2881.0,1,"[['parent', [175.41738817766486, 78.87249362254458, 765.6]]]","[['parent', [381.3, 112.29678271454881, 1071.9070140406423]]]","[['parent', [188.43863241847137, 64.90593802211944, 765.6]]]"
2882.0,1,"[['parent', [185.19670827754882, 82.3123501297691, 822.6]]]","[['parent', [385.3, 109.69332719371972, 1116.6713461847962]]]","[['parent', [207.9731711200379, 76.56139500434483, 822.6]]]"
2883.0,1,"[['parent', [187.05174004292047, 82.447922356068, 829.8]]]","[['parent', [390.7, 106.88778280153296, 1113.0089519011326]]]","[['parent', [210.4800808112533, 76.70531029316841, 829.8]]]"
2884.0,1,"[['parent', [186.75519913396772, 86.7894015289212, 817.0]]]","[['parent', [391.0, 98.3034667199689, 1109.2782424246395]]]","[['parent', [210.00570221033828, 79.87634266055188, 817.0]]]"
2885.0,1,"[['parent', [178.10190849044224, 83.4391879182888, 742.4]]]","[['parent', [386.3, 99.86017415263596, 1045.247608205646]]]","[['parent', [184.99845225142815, 73.25021941982382, 742.4]]]"
2886.0,1,"[['parent', [201.43614841887342, 96.0611280521985, 827.6]]]","[['parent', [382.1, 105.12940333344767, 1053.2514418885085]]]","[['parent', [219.40246991228665, 87.56241151228062, 827.6]]]"
2887.0,1,"[['parent', [186.79644519039306, 91.95496407006065, 767.8]]]","[['parent', [378.1, 106.4062534326971, 1044.9356763538374]]]","[['parent', [198.17350691419878, 83.4879356616795, 767.8]]]"
2888.0,1,"[['parent', [187.37407998000288, 92.63051252408064, 758.6]]]","[['parent', [376.2, 92.5792268960324, 1025.287583739764]]]","[['parent', [206.77214634619534, 86.15777647203873, 758.6]]]"
2889.0,1,"[['parent', [193.75021756730519, 94.73290329091915, 777.5]]]","[['parent', [374.3, 109.46931980780593, 1041.580619661987]]]","[['parent', [199.74659373545208, 82.18399553880177, 777.5]]]"
2890.0,1,"[['parent', [302.36518123577656, 189.2, 1071.8226000329614]]]","[['parent', [376.5, 109.57755722838375, 1034.4510178359342]]]","[['parent', [197.64157478039255, 77.44577530412244, 762.1]]]"
2891.0,1,"[['parent', [183.08789368141123, 86.89285025508583, 731.9]]]","[['parent', [377.6, 112.25100921445616, 1042.0492113524542]]]","[['parent', [182.11659650761203, 68.70454886618886, 731.9]]]"
2892.0,1,"[['parent', [303.98034780525404, 187.5, 1046.8154715526762]]]","[['parent', [377.7, 113.38852998419611, 1026.7150441848291]]]","[['parent', [185.12269467030194, 68.33620289911678, 733.4]]]"
2893.0,1,"[['parent', [317.51431688497746, 186.8, 1064.779290093085]]]","[['parent', [379.3, 113.51207802130378, 1042.5876897074656]]]","[['parent', [192.23454092008535, 70.52533100913624, 766.7]]]"
2894.0,1,"[['parent', [322.0138599817429, 185.9, 1088.3690393933011]]]","[['parent', [383.4, 111.97801103501273, 1044.716601054292]]]","[['parent', [383.4, 152.21416327586172, 1102.1649857937266]]]"
2895.0,1,"[['parent', [319.89689242547547, 185.1, 1080.060705877231]]]","[['parent', [386.4, 112.89510551422607, 1048.3579086339578]]]","[['parent', [386.4, 155.99453823518581, 1109.1891942162217]]]"
2896.0,1,"[['parent', [315.55307484244776, 184.1, 1071.1390640231762]]]","[['parent', [389.1, 105.07630877462972, 997.2228300447938]]]","[['parent', [389.1, 153.63120319739994, 1089.164498388448]]]"
2897.0,1,"[['parent', [307.745040450582, 183.5, 1045.8668539626835]]]","[['parent', [391.5, 107.01186146327854, 1006.2179195993554]]]","[['parent', [212.22271629559896, 71.73852804957941, 748.0]]]"
2898.0,1,"[['parent', [304.1692426249595, 182.7, 1036.5131910341577]]]","[['parent', [393.6, 113.68492650308093, 992.4378378330605]]]","[['parent', [216.80399121159343, 71.73585658504378, 755.5]]]"
2899.0,1,"[['parent', [303.98356735934544, 181.5, 1026.4396455039605]]]","[['parent', [390.8, 108.97174690104853, 965.6888420515363]]]","[['parent', [211.21404373426088, 70.63434640808015, 747.6]]]"
2900.0,1,"[['parent', [317.6389614005316, 179.1, 1055.789318361097]]]","[['parent', [383.7, 104.6097521409439, 937.6654547226519]]]","[['parent', [383.7, 151.44852698167435, 1041.099067358026]]]"
2901.0,1,"[['parent', [311.02602842604665, 175.9, 1041.1858306479894]]]","[['parent', [377.6, 102.52280238382443, 934.1169405792748]]]","[['parent', [377.6, 146.8940266586661, 1025.040445421587]]]"
2902.0,1,"[['parent', [313.6860506754002, 173.4, 1037.53295939445]]]","[['parent', [375.1, 104.33884431304156, 946.9583617637986]]]","[['parent', [375.1, 145.5586646558728, 1025.8727234986538]]]"
2903.0,1,"[['parent', [317.4488878151135, 171.4, 1062.7714133237134]]]","[['parent', [373.9, 107.33968421068577, 997.7084122377447]]]","[['parent', [373.9, 145.19837790687467, 1057.5414689922916]]]"
2904.0,1,"[['parent', [310.8805280738745, 170.4, 1048.7063706696943]]]","[['parent', [371.4, 108.59360914887752, 1011.5059004561741]]]","[['parent', [371.4, 145.77787585950566, 1057.4311098463731]]]"
2905.0,1,"[['parent', [319.1599751488181, 169.6, 1076.2125758538982]]]","[['parent', [367.5, 105.86083345355311, 982.1117520828074]]]","[['parent', [367.5, 140.63110119509813, 1045.9533533839256]]]"
2906.0,1,"[['parent', [322.78395829942144, 169.7, 1070.7467148586056]]]","[['parent', [365.7, 109.29039120966146, 982.1412603444862]]]","[['parent', [365.7, 142.7323825505508, 1044.0373963228528]]]"
2907.0,1,"[['parent', [318.8866239689058, 169.7, 1082.6481899553871]]]","[['parent', [365.1, 108.87650609291133, 973.0401891814106]]]","[['parent', [365.1, 142.54422788248837, 1045.0575976800865]]]"
2908.0,1,"[['parent', [314.81267982787597, 169.3, 1079.0233801256768]]]","[['parent', [361.8, 117.42850902220975, 987.1067552929114]]]","[['parent', [361.8, 150.58723227748231, 1058.937208241004]]]"
2909.0,1,"[['parent', [312.5409804609548, 167.5, 1077.8457232297537]]]","[['parent', [356.5, 114.9857968685032, 971.5932718742437]]]","[['parent', [356.5, 146.56253298194991, 1043.4096919066048]]]"
2910.0,1,"[['parent', [163.84268448152443, 72.21009321620694, 774.0]]]","[['parent', [349.9, 110.47824638355372, 967.6691985113312]]]","[['parent', [349.9, 137.86317013860304, 1031.517564512097]]]"
2911.0,1,"[['parent', [150.34666071565027, 68.31594895556191, 763.1]]]","[['parent', [345.0, 116.16497034001816, 972.9975407795943]]]","[['parent', [345.0, 140.7505015879648, 1037.9188002939522]]]"
2912.0,1,"[['parent', [150.6810340093993, 71.26655007971135, 755.7]]]","[['parent', [341.3, 117.4505012761989, 952.6667752662838]]]","[['parent', [341.3, 142.74486422641036, 1021.9270665279223]]]"
2913.0,1,"[['parent', [153.037225144852, 74.51951926107297, 752.0]]]","[['parent', [338.3, 118.4576419808426, 964.6351659426481]]]","[['parent', [338.3, 143.7468648568226, 1016.7009092272717]]]"
2914.0,1,"[['parent', [147.38911484605464, 74.10160905104908, 754.0]]]","[['parent', [337.3, 119.61220291019698, 982.0795062772802]]]","[['parent', [337.3, 142.9938142021805, 1034.4398788044546]]]"
2915.0,1,"[['parent', [154.98648398038827, 78.45408669586688, 759.1]]]","[['parent', [338.0, 120.78107654472403, 987.1022346528471]]]","[['parent', [338.0, 144.5653908222883, 1031.5876689130296]]]"
2916.0,1,"[['parent', [158.36640774879078, 81.65369779573766, 764.6]]]","[['parent', [338.9, 118.3993457817593, 998.56349426887]]]","[['parent', [338.9, 140.43482241109362, 1022.6888060993633]]]"
2917.0,1,"[['parent', [299.78082466544856, 170.4, 1024.5685858503375]]]","[['parent', [340.7, 120.76332289064817, 998.914197415133]]]","[['parent', [340.7, 149.48542969440942, 1026.2262939602326]]]"
2918.0,1,"[['parent', [287.67749846376404, 171.3, 1000.7696884641481]]]","[['parent', [345.3, 119.70496214079873, 989.9248884181688]]]","[['parent', [345.3, 152.73896141227587, 1023.5161841396896]]]"
2919.0,1,"[['parent', [293.3164889185136, 172.4, 1020.4991931344775]]]","[['parent', [347.2, 118.20338754684872, 991.6457053599418]]]","[['parent', [347.2, 151.19836790139237, 1032.3913854918162]]]"
2920.0,1,"[['parent', [295.9453707650599, 173.1, 1036.77257395693]]]","[['parent', [348.0, 124.2703324660402, 1001.9242306625547]]]","[['parent', [348.0, 156.80215710958828, 1049.8733279624187]]]"
2921.0,1,"[['parent', [291.8287589266503, 174.5, 1028.3593364822082]]]","[['parent', [351.1, 120.6142996790588, 1004.4436125738094]]]","[['parent', [351.1, 154.40239244481853, 1046.2044302089962]]]"
2922.0,1,"[['parent', [312.9122313624679, 175.5, 1067.6289922879178]]]","[['parent', [351.0, 116.66771584282748, 1042.8443251594706]]]","[['parent', [351.0, 144.024074549906, 1056.2299402365209]]]"
2923.0,1,"[['parent', [311.9787016756105, 176.1, 1069.6725997517615]]]","[['parent', [347.0, 118.71942644588432, 1037.4360458710473]]]","[['parent', [347.0, 146.535998743869, 1057.1366602540136]]]"
2924.0,1,"[['parent', [164.7262071493594, 88.52205714545474, 780.2]]]","[['parent', [338.9, 122.36781873564428, 990.8078229765789]]]","[['parent', [338.9, 146.02720328478887, 1030.6323235864925]]]"
